Nombre,Handle de Codeforces,Rating de Codeforces,Ranking IOI 2019,Ranking IOI 2020,Ranking IOI 2021,Ranking IOI 2022,Ranking IOI 2023,Ranking IOI 2024,Highest Rated Problem
Youkyum Kim,,,,,,,20.29,41.64,1700.0
Daniel Nieto Pérez,danx,2108.0,,,,,,41.36,2300.0
Antreas Knais,trumling,1891.0,,,,,37.43,41.08,2100.0
Nik Sauer,,,,,,,,40.79,1700.0
Raphael Heuchl,,,,,,,,40.51,1700.0
Sofia Maragò,,,,,,,,40.23,1700.0
Essa Almousa,essa2006,1603.0,,,,,48.0,39.94,1700.0
Musojon Muhammadiev,MmusoM,1785.0,,,,,,39.94,2200.0
Noé Zech,nonoze,2097.0,,,,,6.0,39.94,2200.0
Daniel Ye,Trentium,2168.0,,,,,,39.09,2400.0
Daniel Holm Rasmussen,,,,,,,20.86,38.81,1700.0
Luka Heric,,,,,,,,38.81,1700.0
Mahdi Benkhadra,PotatoTheWarrior2,1528.0,,,,,,38.24,1700.0
Kipras Deksnys,,,,,,,,37.96,1700.0
Tahir Aliyev,Tahirliyev,1895.0,,,,,,37.68,2200.0
Ursus Wigger,Ursus5805,,,,,,,37.39,
Yassine Ben Younes,yassinebenyounes,1939.0,,,,,39.43,37.39,2200.0
Daniel Emeka-Ilozor,Dan4Life,1925.0,,8.45,6.27,11.46,,36.83,2100.0
Lazaros Karageorgiou,kalarry,2123.0,,,,,34.0,36.54,2200.0
Ghulam Junaid,Ghulam_Junaid,1816.0,,,,,,36.26,2600.0
Gabee De Vera,ProtonDecay314,1846.0,,,,,,35.98,2000.0
Mohammed Wawi,Wawi_,1970.0,,,,,17.43,35.69,2100.0
Gustav Bille Gørtz,,,,,,,35.71,35.41,1700.0
Brest Lenarčič,,,,,,,33.71,35.13,1700.0
Marwen El Arbi,MarwenElarbi,1666.0,,,,,,34.84,1900.0
Adnan Osmić,naneosmic,1780.0,,,,,,34.56,2200.0
Camilo Triana Barata,ctb220406,1890.0,,,,,11.43,34.28,2100.0
Musharraf Shukrulloev,outfinity,2150.0,,,,19.2,33.14,33.99,2400.0
Anastasiia Saranchina,qwusha,1960.0,,,,,,33.71,2300.0
Shuheng Wei,UncreativeDev,1190.0,,,,,,33.43,1800.0
Deera Wijesundara,,,,,,,,33.14,1700.0
Huseyn Aghayev,Huseyn123,1821.0,,,,,,33.14,2100.0
Rushdi Jallad,Rushdi,1579.0,,,,,,33.14,2100.0
Frederik Vase Haraldsson,,,,,,,,32.29,1700.0
Joaquim Schaeverbeke,Ludissey,1789.0,,,,,,32.01,1800.0
Maria Clara Fontes Silva,clarinha,2070.0,,,,,,31.73,2400.0
Georgios-Diomedes Varvaresos,,,,,,,,31.44,1700.0
Ismail Fateen,ismail-but-noob,1734.0,,,,,,31.16,2000.0
Faruk Demirović,glupan,1824.0,,,,,,30.88,1900.0
Saad Alarifi,Erering,1611.0,,,,,,30.59,1900.0
Ulug'bek Rakhmatullaev,heaven2808h,1874.0,,,,,,30.31,2200.0
Aidas Agejevas,,,,,,,,30.03,1700.0
Desh Acharjee,Desh01,2010.0,,,,,,29.75,2200.0
Hasani Ghulomzoda,hasan06,1688.0,,,,,24.0,29.46,2000.0
Fernando Andreé González Meléndez,,,,,7.69,18.05,21.71,29.18,1700.0
Maxwell He,Mkswll,2193.0,,,,,,28.9,2300.0
Žan Pustoslemšek,,,,,,,,28.9,1700.0
Viliam Gottweis,viliamgott,1387.0,,,,,,28.33,1900.0
Io Fai Lei,,,,,,,45.43,28.05,1700.0
Adriāns Piliksers,,,,,,,53.43,27.76,1700.0
Boas Bakker,Boas,1682.0,,,,,12.57,27.48,1900.0
Alejandro Pineda Miranda,,,,,,,22.29,27.2,1700.0
Niilo Mikkola,,,,,,,,26.91,1700.0
Antreas Leonidou,aleonidou,1646.0,,,,,24.0,26.63,1600.0
Praveen Athauda-Arachchi,,,,,,,,26.35,1700.0
Pok Hong Lam,,,,,,,27.71,26.06,1700.0
Alban Van Vyve,,,,,,,11.71,25.78,1700.0
Kareem Kayid,blushinghentaigirl,1668.0,,,,,,25.5,1800.0
Jesse Zhang,,,,,,,,25.21,1700.0
Davit Dzadzamia,DzadzoD,1594.0,,,,,,24.93,2600.0
Tomás Faria,TFF,1056.0,,,13.39,6.3,26.0,24.65,1200.0
Xu Yian,,,,,,,,24.65,1700.0
Rosangel Alexandra Bullon Linares,,,,,,,,24.08,1700.0
Sofie Fu,slushtre,1010.0,,,,,,23.8,1100.0
Walsh Letran,Ausp3x,1725.0,,,,,,23.51,2200.0
Diana Huacasi Durand,,,,,,,9.43,23.23,1700.0
Tamir Jamiyangarav,tamir1,1581.0,,,,,,22.95,1800.0
Andrejs Piroženoks,,,,,,,,22.66,1700.0
Pierre Rouchès,pierre.rouches,1187.0,,,,,,22.38,1200.0
Mousa Hamed,Mousa_Aboubaker,1647.0,,,,,,22.1,2000.0
Viktor Maksimoski,VMaksimoski008,1840.0,,,,,,21.81,2000.0
Matias Francisco Nova Baza,Bors__,408.0,,,,,9.14,21.53,800.0
Héctor Verdeal Rodríguez,Hectorungo_18,1883.0,,,,,,21.25,2200.0
Yhlas Amanmyradov,stdfloat,1625.0,,,,,,20.96,2200.0
Nebili Mohamed Fares,faresnebili,1665.0,,,,,,20.68,1700.0
Piotr Stelmaszek,pitu,399.0,,,,,,20.4,800.0
Kristinn Hrafn Daníelsson,,,,,,,7.14,20.11,1700.0
Hlieb Boiarkin,,,,,,,,19.83,1700.0
Santiago Guaneme Quintero,Guanexxx,1501.0,,,,,,19.55,2100.0
Edvards Freimanis,,,,,,,,19.26,1700.0
Laura Muliar,,,,,,,16.29,18.98,1700.0
Akram Zakine,,,,,,,,18.7,1700.0
Yassir Salama,YassirSalama4,1691.0,,,,,,18.41,2100.0
Mohamed Wassim Fkih,Friday_night,1652.0,,,,,,18.13,1800.0
Edgardo León,EdL,1315.0,,,,,,17.85,1700.0
Peter Zhou,,,,,,,,17.56,1700.0
Mindiya Karunasinghe,,,,,,,23.43,17.28,1700.0
Sofija Velkovska,coolplum,1679.0,,,,14.33,,17.0,2100.0
Arthur Harri Jaakko Antila,,,,,,,,16.71,1700.0
Erkhem Ganzorig,ezzzay,1491.0,,,,,,16.43,2100.0
Ralf Robert Paabo,,,,,,,16.29,16.43,1700.0
Gabriel Alberto Cruz Nogales,Gabriel___,1437.0,,,,,8.86,15.86,1600.0
Antero Nyberg,,,,,,,,15.58,1700.0
Raed Naseer,TorresianCrow,1307.0,,,,5.44,19.71,15.3,1700.0
Francis José Rodríguez Ronda,SN0WM4N,1609.0,,,,,,15.01,1800.0
Roberto Josué Polanco Hernández,,,,,,,,14.73,1700.0
Eva Sóllilja Einarsdóttir,,,,,,,,14.45,1700.0
Albara Abdulhafith,Albara_Abdulhafith,1455.0,,,,,,14.16,1600.0
Fionn Kimber O'Shea,fionnkimberoshea,1381.0,,,,,7.43,13.88,1600.0
Oscar José Pleités Lemus,osplei,1414.0,,,,,4.57,13.6,1500.0
Miguel Pereira,,,,,,,,13.31,1700.0
