Nombre,Handle de Codeforces,Rating de Codeforces,Ranking IOI 2019,Ranking IOI 2020,Ranking IOI 2021,Ranking IOI 2022,Ranking IOI 2023,Ranking IOI 2024,Pais
Jovian Soejono,RecursiveCo,2305,,,,,,77.05,Switzerland
Papangkorn Apinyanon,sleepntsheep,2119,,,,,,76.77,Thailand
Alihan Aidarbekov,alihan_8,1814,,,,,54.57,76.49,Kyrgyzstan
Nemanja Majski,nemanjaso2005,2303,,,,,68.00,76.20,Serbia
Nazar Serazitdinov,otalp,1869,,,,,50.29,75.92,Kazakhstan
Yung Ho Kwan,culver0412,2434,,,,,,75.92,Hong Kong
Lok Yin Siu,bedrockfake,2262,,,,,,75.35,Hong Kong
Andrey Stefanov,andreystefanov,2340,,,,,,75.07,Bulgaria
Matthias Pleschinger,N/A,N/A,,,64.39,55.87,68.29,74.79,Austria
Raphaël Pons,raphaelp,1964,,,,,,74.50,France
Yi-Yu Chao,zacharychao,2377,,,,,,74.22,Taiwan
Eduardo Carranza Vélez,edu175,2440,,,,,16.86,73.94,Argentina
Panagiotis Paskalis,panospask,2131,,,,,60.86,73.94,Greece
Ihnat Zharikhin,Ignut,2188,,,,,,73.37,Ukraine
Maksym Shvedchenko,waipoli,2296,,,,,,73.37,Germany
James Ray Bamber,jamesbamber,2130,,,,,,72.80,Italy
Faruk Ibrahimović,dino_merlin,2034,,,,38.40,30.86,72.52,Bosnia and Herzegovina
Filipe Lalic,Lalic,2109,,,,,,72.24,Brazil
Yun-Shuo Tsao,LittleOrange666,2189,,,,,,71.95,Taiwan
Ayman Riad Solh,aymanrs,2384,,14.58,35.61,68.77,40.00,71.67,Morocco
Minkyum Kim,N/A,N/A,,,,62.75,60.86,71.39,South Africa
Trung Pham Ngoc,hotboy2703,2223,,,,,,71.39,Viet Nam
Alessandro Lombardo,alesl0,1842,,,,,58.00,70.82,Italy
Elias Bauer,EliasBauer,1944,,,,57.88,74.86,70.54,Switzerland
Adavya Goyal,Boomyday12343,2119,,,,,,70.25,United Kingdom
Onolt Khurtsbilguun,Onolt_kh,2286,,,,,50.86,69.97,Mongolia
Chenyu Lin,2288,1837,,,,,,69.69,Netherlands
Luca Baglietto,bestcrazynoob,1857,,,,,44.00,69.41,Italy
Ping-Chung Chang,PCC,2096,,,,,,69.12,Taiwan
Kaarel Toomet,N/A,N/A,,,,,,68.84,Estonia
Theodor Beskow,TheodorBeskow,1821,,,,,24.86,68.56,Sweden
Dino Hadžić,DinoHadzic,2232,,,,,,68.27,Croatia
Irmuun Chinbat,Irmuun.Ch,2402,,,,,,67.99,Mongolia
Nathan Zhou,DoubleSlash,N/A,,,,,,67.71,Russia
Francesco Vercellesi,fve5,N/A,,,,,65.43,67.42,Italy
Markos Radaios,radaiosm7,1927,,,29.34,39.26,34.57,67.14,Greece
Jelle van der Drift,j_vdd16,1895,,,,,,66.86,Netherlands
Parsa Farjpoursarabi,ParsaDox,2558,,,,,,66.57,Iran
Kristjan Lepp,kl0989e,2113,,,,,,66.57,Estonia
Nikola Vujica,nvujica,1967,,,,,,66.29,Croatia
