Nombre,Rating de Codeforces,Problema Más Difícil,Ranking IOI 2019,Ranking IOI 2020,Ranking IOI 2021,Ranking IOI 2022,Ranking IOI 2023,Ranking IOI 2024
Kangyang Zhou,3529,3500,,,,,,100.00
Adam Gąsienica-Samek,2876,3100,,,,,85.71,99.72
