Rating de Codeforces,Ranking IOI 2024,Medal
1846.0,35.98,None
1970.0,35.69,None
1732.9887687638409,35.41,None
1729.2799054805182,35.13,None
1666.0,34.84,None
1780.0,34.56,None
1890.0,34.28,None
2150.0,33.99,None
1960.0,33.71,None
1190.0,33.43,None
1702.9204842883348,33.14,None
1821.0,33.14,None
1579.0,33.14,None
1691.661435035392,32.29,None
1789.0,32.01,None
2070.0,31.73,None
1680.4023857824495,31.44,None
1734.0,31.16,None
1824.0,30.88,None
1611.0,30.59,None
1874.0,30.31,None
1661.725609962862,30.03,None
2010.0,29.75,None
1688.0,29.46,None
1650.4665607099191,29.18,None
2193.0,28.9,None
1646.7576974265971,28.9,None
1387.0,28.33,None
1635.4986481736544,28.05,None
1631.6573254873565,27.76,None
1682.0,27.48,None
1624.2395989207116,27.2,None
1620.3982762344135,26.91,None
1646.0,26.63,None
1612.980549667769,26.35,None
1609.139226981471,26.06,None
1605.4303636981488,25.78,None
1668.0,25.5,None
1597.8801777285282,25.21,None
1594.0,24.93,None
1056.0,24.65,None
1590.4624511618836,24.65,None
1582.9122651922632,24.08,None
1010.0,23.8,None
1725.0,23.51,None
1571.6532159393205,23.23,None
1534.0,22.95,None
1564.1030299697002,22.66,None
1187.0,22.38,None
1647.0,22.1,None
1840.0,21.81,None
408.0,21.53,None
1883.0,21.25,None
1625.0,20.96,None
1665.0,20.68,None
399.0,20.4,None
1530.325882210872,20.11,None
1526.61701892755,19.83,None
1429.0,19.55,None
1519.0668329579294,19.26,None
1515.3579696746071,18.98,None
1511.649106391285,18.7,None
1691.0,18.41,None
1652.0,18.13,None
1315.0,17.85,None
1496.548734452044,17.56,None
1492.839871168722,17.28,None
1568.0,17.0,None
1485.2896851991013,16.71,None
1491.0,16.43,None
1481.580821915779,16.43,None
1437.0,15.86,None
1470.3217726628363,15.58,None
1307.0,15.3,None
1609.0,15.01,None
1459.0627234098936,14.73,None
1455.3538601265714,14.45,None
1295.0,14.16,None
1381.0,13.88,None
1414.0,13.6,None
1440.2534881873305,13.31,None
1436.5446249040083,13.03,None
1158.0,12.75,None
1428.994438934388,12.46,None
1173.0,12.18,None
1409.0,11.9,None
1630.0,11.61,None
1414.0265263981228,11.33,None
1470.0,11.05,None
1599.0,11.05,None
1378.0,10.48,None
1399.0586138618578,10.2,None
1039.0,9.92,None
1391.5084278922377,9.63,None
1387.7995646089153,9.35,None
920.0,9.07,None
1965.0,8.78,None
1266.0,8.5,None
1598.0,8.22,None
2118.0,7.93,None
1387.0,7.65,None
1493.0,7.37,None
1357.7312801334094,7.08,None
1354.0224168500872,6.8,None
1350.3135535667648,6.52,None
1407.0,6.52,None
1342.7633675971445,5.95,None
1279.0,5.67,None
1239.0,5.38,None
1331.5043183442017,5.1,None
1030.0,4.82,None
1323.9541323745814,4.53,None
1320.2452690912592,4.25,None
986.0,3.97,None
1312.6950831216386,3.68,None
1308.9862198383164,3.4,None
1029.0,3.12,None
734.0,3.12,None
984.0,3.12,None
572.0,2.27,None
1290.176984615753,1.98,None
1286.4681213324309,1.7,None
1282.759258049109,1.42,None
1278.9179353628106,1.13,None
1278.9179353628106,1.13,None
1278.9179353628106,1.13,None
